id,title,picture,title_en,title_ja,start_date,end_date,synopsis,mean_score,rank,popularity,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration_seconds,rating,studios,num_list_users,num_scoring_users,watching,completed,on_hold,dropped,plan_to_watch
21781,Tsubasa to Hotaru,https://cdn.myanimelist.net/images/anime/11/59507.webp,,つばさとホタル,2014-03-16,2014-03-16,"After joining her new school, the enthusiastic 15-year-old Tsubasa Sonokawa believes she immediately experienced a fated encounter. While in trouble, she was helped by her upperclassman and fell in love with him. However, due to her habit of overdoing things, Tsubasa's feelings are not reciprocated.  As Tsubasa goes through the heartbreak, her childhood friend asks her to be the temporary manager of the school's basketball team. Right on her first day, the girl is almost hit by a ball, but she is saved by Aki Hidaka, a member of the team. Despite her overzealous ways, Tsubasa finds her life getting more vibrant by the day as a friendship blossoms between the two.  [Written by MAL Rewrite]",6.78,5654,5713,False,special,finished_airing,"Romance,School,Shoujo",1,manga,847,g,J.C.Staff,16933,6757,785,10096,224,164,5662
21797,Chuunibyou demo Koi ga Shitai! Ren Lite,https://cdn.myanimelist.net/images/anime/7/57457.webp,"Love, Chunibyo & Other Delusions!: Heart Throb Lite Shorts",中二病でも恋がしたい！戀 Lite,2013-12-26,2014-03-16,Short episodes aired on KyoAni's official YouTube channel.,7.18,3625,2418,False,ona,finished_airing,"Comedy,School",6,light_novel,285,pg_13,Kyoto Animation,93588,46534,2198,70801,1373,904,18302
21809,Kenzen Robo Daimidaler,https://cdn.myanimelist.net/images/anime/2/61435.webp,Daimidaler: Prince vs. Penguin Empire,健全ロボ ダイミダラー,2014-04-05,2014-06-21,"Battles continue between ""Penguin Empire"", the mysterious life form which arrived on earth all of a sudden, and ""Beauty Salon Prince"", the secret anti-Penguin organization. In order to fight Penguin Empire's gigantic ""Penguin Robot"", Beauty Salon Prince has developed their ultimate weapon, ""Daimidaler"", and is now looking for the pilot. They choose Koichi Madanbashi, a hot-blooded high school boy who is mad about big boobs, because he is the factor of ""Hi-ERo particles"", the source of unknown energy.  (Source: Showgate)",6.13,9523,2756,False,tv,finished_airing,"Comedy,Ecchi,Mecha,Parody,Sci-Fi,Seinen",12,manga,1440,r+,TNK,75964,27316,6166,32659,3039,8104,25963
21821,Fuuun Ishin Dai☆Shougun,https://cdn.myanimelist.net/images/anime/7/60333.webp,Dai-Shogun: Great Revolution,風雲維新ダイ☆ショーグン,2014-04-10,2014-06-26,"In the late Edo period, Japan had experienced an unprecedented crisis by Kurofune (Black Ships), the ships from foreign countries. But a giant robot called Onigami, which has existed since ancient time, dispelled the Kurofune ships and the exclusion of foreigners was accomplished. The story begins in Japan where Meiji restoration in 1868 didn't happen. The tagline says, ""I can be the greatest man in the world, because I am a virgin!!""  (Source: Crunchyroll)",5.66,12000,4595,False,tv,finished_airing,"Historical,Mecha",12,original,1440,r,"J.C.Staff,A.C.G.T.",28859,9887,2406,11428,1122,3472,10428
21829,Fella Pure: Mitarashi-san Chi no Jijou The Animation,https://cdn.myanimelist.net/images/anime/2/74935.jpg,,フェラピュア ~御手洗さん家の事情~ THE ANIMATION,2014-03-28,2014-03-28,"On the outside, Keiko Mitarai is absolutely perfect; she has a beautiful figure, astounding leadership, and a good reputation among the students. Unbeknownst to many, however, behind the charisma she exudes lies a complete pervert who cannot stop thinking about the sexual art of fellatio. Because of this, whenever her parents are away, she uses her younger brother to discover new ways of giving pleasure, which is bound to one day go too far.  [Written by MAL Rewrite]",7.39,,4298,True,ova,finished_airing,Hentai,1,manga,1775,rx,Office TakeOut,33675,16060,2860,23299,996,870,5647
21831,Dracula no Uta,https://cdn.myanimelist.net/images/anime/8/57523.webp,,ドラキュラのうた,1975-08-02,1975-08-02,An imaginative take on Dracula is shown in this musical video from the Minna no Uta franchise.,4.62,,14941,False,music,finished_airing,"Kids,Music,Vampire",1,original,151,g,,984,506,23,747,6,73,135
21833,Higenashi Gogejabaru,https://cdn.myanimelist.net/images/anime/8/57525.jpg,,ひげなしゴゲジャバル,1974-06-03,1974-06-03,"A naughty boy sneaks into a sleeping cat, cuts off its whiskers and sets in motion a surprising reaction from all who encounters it.   This video is accompanied by a catchy tune and shown at NHK's Minna no Uta segment.",4.94,,17618,False,music,finished_airing,"Comedy,Fantasy,Kids,Music",1,original,140,g,,528,266,15,382,3,52,76
21835,Majin Bone,https://cdn.myanimelist.net/images/anime/1490/90396.webp,,マジンボーン,2014-04-01,2015-03-31,"Anime adaptation of Majin Bone, a digital card game project.  Majin, the creator of the Universe, has been resurrected in the present day. Shougo Ryuujin, an ordinary high school student who transforms into the Bone Fighter Dragonbone with the Bone Card in order to save Earth. Together, with the other White Bone warriors take a stand against the Dark Bone, a foe that has appeared from darkness to devastate Earth. However, ""could the true enemy be ourselves?""  (Source: ANN)",6.63,6525,6981,False,tv,finished_airing,Strategy Game,52,game,1320,pg_13,Toei Animation,10326,3938,1284,3381,829,2468,2363
21843,Shingeki no Bahamut: Genesis,https://cdn.myanimelist.net/images/anime/2/67513.jpg,Rage of Bahamut: Genesis,神撃のバハムート GENESIS,2014-10-06,2014-12-29,"Thousands of years ago, the ancient dragon Bahamut wrought havoc upon the land of Mistarcia, a world where both gods and demons live amongst mankind. Working together to prevent the world's destruction, the rival deities barely managed to seal Bahamut, agreeing to split the key between them so that the dragon would remain eternally imprisoned.  With the world safe from the destruction of Bahamut, it is business as usual for bounty hunters like Favaro Leone. Living a laid-back, self-serving lifestyle, the amoral Favaro goes about his work while on the run from fellow bounty hunter Kaisar Lidfard, a righteous man who swears vengeance upon Favaro. However, Favaro's carefree life is thrown into chaos when he meets Amira, a mysterious woman who holds half of the key to the world's fragile peace.  Shingeki no Bahamut: Genesis tells the story of a group of unlikely heroes who find themselves caught in the middle of an epic clash between gods and demons, forced to carve their own path in the face of the imminent storm.  [Written by MAL Rewrite]",7.61,1607,593,False,tv,finished_airing,"Action,Adventure,Fantasy",12,card_game,1450,r,MAPPA,433925,186057,25476,239090,13039,13682,142562
21845,Ushinawareta Mirai wo Motomete,https://cdn.myanimelist.net/images/anime/1414/112510.jpg,In Search of the Lost Future,失われた未来を求めて,2014-10-04,2014-12-20,"Kaori Sasaki—a member of Uchihama Academy's Astronomy Club—confesses to Sou Akiyama, but later that evening, she dies in a tragic road accident. Her friends and fellow club members mourn her death in a local hospital. Yet she shows up to school the following day, and no one senses anything amiss.  The day finishes without any unusual incidents, and the group of friends plans for the upcoming cultural festival. Suddenly, the room is shaken by an unnatural earthquake. Everyone splits up to investigate—except for Nagisa Hanamiya, who stays behind. As everyone leaves, Nagisa notices that the odd relic-like cube that she was toying with starts emitting a strange blue light. Meanwhile, Sou stumbles upon an unconscious, naked girl lying in a pool of water.  Ushinawareta Mirai wo Motomete follows the Astronomy Club's increasingly bizarre adventures—from dealing with ghosts to quelling unrests between student clubs. All the while, they unravel the circumstances behind the sudden appearance of a new transfer student.  [Written by MAL Rewrite]",6.72,5994,2370,False,tv,finished_airing,"Drama,Romance,School,Sci-Fi,Time Travel",12,visual_novel,1425,pg_13,feel.,96999,35287,6482,42910,3885,7882,35824
21851,Tesagure! Bukatsumono Encore,https://cdn.myanimelist.net/images/anime/7/58483.webp,,てさぐれ！部活もの あんこーる,2014-01-12,2014-03-30,Second season of Tesagure! Bukatsumono.,7.01,4479,8930,False,tv,finished_airing,"Comedy,Parody,School",12,original,660,pg_13,Yaoyorozu,5593,1695,476,2293,153,195,2474
21853,Love Live! School Idol Project Recap,https://cdn.myanimelist.net/images/anime/4/57505.jpg,,ラブライブ！〜国立音ノ木坂学院案内〜,2013-12-25,2013-12-25,Narrated recap of the Love Live! School Idol Project series included on the official  Blu-ray fandisc release.,6.94,4778,7054,False,special,finished_airing,"Idols (Female),Music,School,Slice of Life",1,other,1806,pg_13,Sunrise,10035,3437,251,5797,170,255,3560
